[1/5] Building TPC-DS DuckDB (sf=1) ...
[2/5] Category 'enriched': setting up workspace ...
[3/5] Running agent per query (9 queries, fresh context each, concurrency=4) — deepseek/deepseek-chat ...
  [q05] starting (worker _worker_3)
  [q14] starting (worker _worker_2)
  [q54] starting (worker _worker_1)
  [q59] starting (worker _worker_0)
  [q54] done in 133s (exit 0, score=fail)
  [q75] starting (worker _worker_1)
  [q75] done in 49s (exit 0, score=fail)
  [q80] starting (worker _worker_1)
  [q59] done in 233s (exit 0, score=fail)
  [q83] starting (worker _worker_0)
  [q80] done in 66s (exit 0, score=fail)
  [q86] starting (worker _worker_1)
  [q86] done in 73s (exit 0, score=fail)
  [q97] starting (worker _worker_1)
  [q97] done in 58s (exit 0, score=fail)
  [q83] done in 297s (exit 0, score=pass)
  [q14] done in 711s (exit 0, score=fail)
  [q05] done in 900s (exit -1, score=timeout)
[4/5] Finalising scores for 9 queries ...
  spliced 90 prior results from 20260630-235635
  wrote C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\dashboard_enriched_v2.png  (42 trilogy failures -> C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\trilogy_failures_enriched.md)
[5/5] Done. Artifacts in C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260701-013044

# TPC-DS Agent Eval — 20260701-013044

- Model: `deepseek/deepseek-chat`
- Scale factor: 1  |  Queries: 99  |  Trilogy: 0.3.288

## Result

- **Pass rate: 63/99** (64%)
- Status breakdown: {'pass': 63, 'timeout': 1, 'fail': 35}
- Wall time: 1081.5s  (TIMED OUT)  |  Agent time: 2519.1s  |  Avg/query: 279.9s
- Agent exit code: 1

## Agent harness metrics

- LLM iterations: 248
- Tool calls: 290  →  {'trilogy': 282, 'return_control_to_user': 8}
- `trilogy` subcommands: {'agent-info': 23, 'file': 80, 'explore': 53, 'run': 126}
- Tool success rate: 86% (247/289 ok)
- Tokens: 9354986 total (9250297 prompt + 104689 completion)

## Tool-output sizes

| Tool | calls | avg chars | max chars | truncated | trunc-rate |
|---|---:|---:|---:|---:|---:|
| `trilogy` | 281 | 2974 | 31894 | 0 | 0% |
| `return_control_to_user` | 8 | 26 | 26 | 0 | 0% |

- Repeated calls (same args seen earlier in same query): {'trilogy': 42} — total 42

## Per-query

| Query | Status | Ref rows | Cand rows | SQL len | Detail |
|------:|:-------|---------:|----------:|--------:|:-------|
| 01 | pass | 100 | 100 | 1588 |  |
| 02 | pass | 53 | 53 | 10438 |  |
| 03 | pass | 89 | 89 | 800 |  |
| 04 | pass | 6 | 6 | 20954 |  |
| 05 | timeout | 0 | 0 | 0 | scoring timed out after 180s (likely planner loop or runaway query) |
| 06 | pass | 46 | 46 | 3456 |  |
| 07 | pass | 100 | 100 | 1538 |  |
| 08 | pass | 5 | 5 | 2942 |  |
| 09 | pass | 1 | 1 | 4676 |  |
| 10 | pass | 6 | 6 | 6448 |  |
| 11 | pass | 90 | 90 | 5745 |  |
| 12 | pass | 100 | 100 | 2089 |  |
| 13 | pass | 1 | 1 | 2754 |  |
| 14 | fail | 100 | 100 | 14969 | result set differs from reference |
| 15 | pass | 100 | 100 | 1283 |  |
| 16 | pass | 1 | 1 | 3859 |  |
| 17 | fail | 23 | 100 | 6228 | result set differs from reference |
| 18 | fail | 100 | 100 | 3360 | result set differs from reference |
| 19 | pass | 100 | 100 | 1637 |  |
| 20 | pass | 100 | 100 | 2380 |  |
| 21 | pass | 100 | 100 | 1490 |  |
| 22 | pass | 100 | 100 | 1490 |  |
| 23 | fail | 4 | 100 | 6171 | result set differs from reference |
| 24 | fail | 1 | 1 | 2573 | result set differs from reference |
| 25 | pass | 1 | 1 | 4042 |  |
| 26 | pass | 100 | 100 | 1651 |  |
| 27 | pass | 100 | 100 | 2023 |  |
| 28 | fail | 1 | 1 | 6606 | result set differs from reference |
| 29 | pass | 1 | 1 | 4108 |  |
| 30 | fail | 100 | 100 | 4192 | result set differs from reference |
| 31 | fail | 44 | 44 | 4701 | result set differs from reference |
| 32 | pass | 1 | 1 | 1502 |  |
| 33 | pass | 100 | 100 | 3412 |  |
| 34 | pass | 455 | 455 | 2493 |  |
| 35 | fail | 100 | 100 | 10092 | result set differs from reference |
| 36 | pass | 100 | 100 | 3299 |  |
| 37 | pass | 1 | 1 | 1362 |  |
| 38 | fail | 1 | 1 | 846 | result set differs from reference |
| 39 | pass | 243 | 243 | 4326 |  |
| 40 | pass | 100 | 100 | 1506 |  |
| 41 | pass | 100 | 100 | 2495 |  |
| 42 | pass | 10 | 10 | 871 |  |
| 43 | pass | 6 | 6 | 1334 |  |
| 44 | pass | 10 | 10 | 3192 |  |
| 45 | pass | 19 | 19 | 1635 |  |
| 46 | pass | 100 | 100 | 2113 |  |
| 47 | pass | 100 | 100 | 5597 |  |
| 48 | pass | 1 | 1 | 2182 |  |
| 49 | pass | 34 | 34 | 7316 |  |
| 50 | fail | 6 | 6 | 3249 | result set differs from reference |
| 51 | fail | 100 | 100 | 4557 | result set differs from reference |
