[categories] spawning parallel runs:
   sql_bare   → C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260628-042638_sql_bare
   sql_schema → C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260628-042638_sql_schema
   enriched   → C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260628-042638_enriched
[sql_bare] [1/5] Building TPC-DS DuckDB (sf=1) ...
[sql_bare] [2/5] Category 'sql_bare': setting up workspace ...
[sql_bare] [3/5] Running agent per query (99 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
[sql_bare]   [q01] starting (worker _worker_1)
[sql_bare]   [q02] starting (worker _worker_0)
[enriched] [1/5] Building TPC-DS DuckDB (sf=1) ...
[enriched] [2/5] Category 'enriched': setting up workspace ...
[enriched] [3/5] Running agent per query (99 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
[enriched]   [q01] starting (worker _worker_1)
[enriched]   [q02] starting (worker _worker_0)
[sql_schema] [1/5] Building TPC-DS DuckDB (sf=1) ...
[sql_schema] [2/5] Category 'sql_schema': setting up workspace ...
[sql_schema] [3/5] Running agent per query (99 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
[sql_schema]   [q01] starting (worker _worker_1)
[sql_schema]   [q02] starting (worker _worker_0)
[enriched]   [q01] done in 34s (exit 0, score=pass)
[enriched]   [q03] starting (worker _worker_1)
[sql_schema]   [q01] done in 39s (exit 0, score=pass)
[sql_schema]   [q03] starting (worker _worker_1)
[enriched]   [q03] done in 23s (exit 0, score=pass)
[enriched]   [q04] starting (worker _worker_1)
[sql_schema]   [q03] done in 28s (exit 0, score=pass)
[sql_schema]   [q04] starting (worker _worker_1)
[sql_bare]   [q01] done in 69s (exit 0, score=pass)
[sql_bare]   [q03] starting (worker _worker_1)
[sql_bare]   [q03] done in 19s (exit 0, score=pass)
[sql_bare]   [q04] starting (worker _worker_1)
[sql_bare]   [q02] done in 132s (exit 0, score=fail)
[sql_bare]   [q05] starting (worker _worker_0)
[enriched]   [q02] done in 133s (exit 0, score=fail)
[enriched]   [q05] starting (worker _worker_0)
[enriched]   [q04] done in 82s (exit 0, score=pass)
[enriched]   [q06] starting (worker _worker_1)
[sql_schema]   [q04] done in 79s (exit 0, score=pass)
[sql_schema]   [q05] starting (worker _worker_1)
[sql_schema]   [q02] done in 175s (exit 0, score=fail)
[sql_schema]   [q06] starting (worker _worker_0)
[enriched]   [q06] done in 62s (exit 0, score=pass)
[enriched]   [q07] starting (worker _worker_1)
[sql_bare]   [q04] done in 126s (exit 0, score=pass)
[sql_bare]   [q06] starting (worker _worker_1)
[sql_schema]   [q06] done in 54s (exit 0, score=pass)
[sql_schema]   [q07] starting (worker _worker_0)
[enriched]   [q07] done in 25s (exit 0, score=pass)
[enriched]   [q08] starting (worker _worker_1)
[sql_schema]   [q07] done in 27s (exit 0, score=pass)
[sql_schema]   [q08] starting (worker _worker_0)
[sql_bare]   [q06] done in 49s (exit 0, score=fail)
[sql_bare]   [q07] starting (worker _worker_1)
[sql_schema]   [q05] done in 138s (exit 0, score=pass)
[sql_schema]   [q09] starting (worker _worker_1)
[sql_bare]   [q05] done in 154s (exit 0, score=fail)
[sql_bare]   [q08] starting (worker _worker_0)
[sql_bare]   [q07] done in 23s (exit 0, score=pass)
[sql_bare]   [q09] starting (worker _worker_1)
[sql_bare]   [q09] done in 24s (exit 0, score=pass)
[sql_bare]   [q10] starting (worker _worker_1)
[sql_schema]   [q09] done in 35s (exit 0, score=pass)
[sql_schema]   [q10] starting (worker _worker_1)
[enriched]   [q08] done in 97s (exit 0, score=pass)
[enriched]   [q09] starting (worker _worker_1)
[enriched]   [q09] done in 21s (exit 0, score=pass)
[enriched]   [q10] starting (worker _worker_1)
