[1/5] Building TPC-DS DuckDB (sf=1) ...
[2/5] Category 'enriched': setting up workspace ...
[3/5] Running agent per query (10 queries, fresh context each, concurrency=3) — deepseek/deepseek-chat ...
  [q02] starting (worker _worker_2)
  [q05] starting (worker _worker_1)
  [q14] starting (worker _worker_0)
  [q14] done in 64s (exit 0, score=fail)
  [q23] starting (worker _worker_0)
  [q05] done in 137s (exit 0, score=fail)
  [q38] starting (worker _worker_1)
  [q02] done in 139s (exit 0, score=pass)
  [q64] starting (worker _worker_2)
  [q23] done in 140s (exit 0, score=fail)
  [q70] starting (worker _worker_0)
  [q38] done in 82s (exit 0, score=fail)
  [q75] starting (worker _worker_1)
  [q75] done in 47s (exit 0, score=pass)
  [q78] starting (worker _worker_1)
  [q64] done in 150s (exit 0, score=fail)
  [q97] starting (worker _worker_2)
  [q78] done in 37s (exit 0, score=fail)
  [q97] done in 48s (exit 0, score=fail)
  [q70] done in 277s (exit 0, score=fail)
[4/5] Finalising scores for 10 queries ...
  spliced 89 prior results from 20260628-175514
  wrote C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\dashboard_enriched_v2.png  (34 trilogy failures -> C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\trilogy_failures_enriched.md)
[5/5] Done. Artifacts in C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260628-194910

# TPC-DS Agent Eval — 20260628-194910

- Model: `deepseek/deepseek-chat`
- Scale factor: 1  |  Queries: 99  |  Trilogy: 0.3.287

## Result

- **Pass rate: 63/99** (64%)
- Status breakdown: {'pass': 63, 'fail': 33, 'timeout': 3}
- Wall time: 489.1s  |  Agent time: 1119.6s  |  Avg/query: 112.0s
- Agent exit code: 0

## Agent harness metrics

- LLM iterations: 215
- Tool calls: 248  →  {'trilogy': 238, 'return_control_to_user': 10}
- `trilogy` subcommands: {'agent-info': 26, 'file': 85, 'explore': 58, 'run': 68}
- Tool success rate: 86% (214/248 ok)
- Tokens: 6862837 total (6785149 prompt + 77688 completion)

## Tool-output sizes

| Tool | calls | avg chars | max chars | truncated | trunc-rate |
|---|---:|---:|---:|---:|---:|
| `trilogy` | 238 | 4105 | 33152 | 0 | 0% |
| `return_control_to_user` | 10 | 26 | 26 | 0 | 0% |

- Repeated calls (same args seen earlier in same query): {'trilogy': 51} — total 51

## Per-query

| Query | Status | Ref rows | Cand rows | SQL len | Detail |
|------:|:-------|---------:|----------:|--------:|:-------|
| 01 | pass | 100 | 100 | 816 |  |
| 02 | pass | 53 | 53 | 5523 |  |
| 03 | pass | 89 | 89 | 416 |  |
| 04 | pass | 6 | 6 | 2076 |  |
| 05 | fail | 100 | 100 | 13327 | result set differs from reference |
| 06 | pass | 46 | 46 | 941 |  |
| 07 | pass | 100 | 100 | 652 |  |
| 08 | pass | 5 | 5 | 3216 |  |
| 09 | pass | 1 | 1 | 1822 |  |
| 10 | pass | 6 | 6 | 2089 |  |
| 11 | fail | 90 | 100 | 2366 | result set differs from reference |
| 12 | pass | 100 | 100 | 1150 |  |
| 13 | pass | 1 | 1 | 1266 |  |
| 14 | fail | 100 | 100 | 5802 | result set differs from reference |
| 15 | fail | 100 | 100 | 572 | result set differs from reference |
| 16 | pass | 1 | 1 | 804 |  |
| 17 | fail | 23 | 100 | 1589 | result set differs from reference |
| 18 | fail | 100 | 100 | 1191 | result set differs from reference |
| 19 | pass | 100 | 100 | 688 |  |
| 20 | fail | 100 | 100 | 1191 | result set differs from reference |
| 21 | pass | 100 | 100 | 931 |  |
| 22 | pass | 100 | 100 | 498 |  |
| 23 | fail | 4 | 19 | 6781 | result set differs from reference |
| 24 | pass | 1 | 1 | 1344 |  |
| 25 | pass | 1 | 1 | 1377 |  |
| 26 | pass | 100 | 100 | 653 |  |
| 27 | pass | 100 | 100 | 2019 |  |
| 28 | pass | 1 | 1 | 3952 |  |
| 29 | fail | 1 | 100 | 2556 | result set differs from reference |
| 30 | fail | 100 | 100 | 1719 | result set differs from reference |
| 31 | fail | 44 | 45 | 2135 | result set differs from reference |
| 32 | pass | 1 | 1 | 485 |  |
| 33 | pass | 100 | 100 | 1519 |  |
| 34 | pass | 455 | 455 | 1075 |  |
| 35 | pass | 100 | 100 | 2127 |  |
