[1/5] Building TPC-DS DuckDB (sf=1) ...
[2/5] Category 'enriched': setting up workspace ...
[3/5] Running agent per query (12 queries, fresh context each, concurrency=3) — deepseek/deepseek-chat ...
  [q02] starting (worker _worker_2)
  [q05] starting (worker _worker_1)
  [q10] starting (worker _worker_0)
  [q10] done in 36s (exit 0, score=pass)
  [q14] starting (worker _worker_0)
  [q05] done in 95s (exit 0, score=fail)
  [q23] starting (worker _worker_1)
  [q14] done in 62s (exit 0, score=fail)
  [q29] starting (worker _worker_0)
  [q02] done in 153s (exit 0, score=fail)
  [q64] starting (worker _worker_2)
  [q29] done in 95s (exit 0, score=fail)
  [q77] starting (worker _worker_0)
  [q77] done in 118s (exit 0, score=fail)
  [q80] starting (worker _worker_0)
  [q23] done in 234s (exit 0, score=fail)
  [q83] starting (worker _worker_1)
  [q64] done in 252s (exit 0, score=fail)
  [q93] starting (worker _worker_2)
  [q83] done in 98s (exit 0, score=pass)
  [q96] starting (worker _worker_1)
  [q96] done in 29s (exit 0, score=pass)
  [q93] done in 89s (exit 0, score=pass)
  [q80] done in 200s (exit 0, score=fail)
[4/5] Finalising scores for 12 queries ...
  spliced 87 prior results from 20260629-214830
  wrote C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\dashboard_enriched_v2.png  (36 trilogy failures -> C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\trilogy_failures_enriched.md)
[5/5] Done. Artifacts in C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260630-014126

# TPC-DS Agent Eval — 20260630-014126

- Model: `deepseek/deepseek-chat`
- Scale factor: 1  |  Queries: 99  |  Trilogy: 0.3.288

## Result

- **Pass rate: 54/99** (55%)
- Status breakdown: {'pass': 54, 'fail': 45}
- Wall time: 526.1s  |  Agent time: 1461.3s  |  Avg/query: 121.8s
- Agent exit code: 0

## Agent harness metrics

- LLM iterations: 254
- Tool calls: 308  →  {'trilogy': 296, 'return_control_to_user': 12}
- `trilogy` subcommands: {'agent-info': 26, 'file': 93, 'explore': 85, 'run': 91}
- Tool success rate: 88% (272/308 ok)
- Tokens: 7518261 total (7425988 prompt + 92273 completion)

## Tool-output sizes

| Tool | calls | avg chars | max chars | truncated | trunc-rate |
|---|---:|---:|---:|---:|---:|
| `trilogy` | 296 | 3618 | 32561 | 0 | 0% |
| `return_control_to_user` | 12 | 26 | 26 | 0 | 0% |

- Repeated calls (same args seen earlier in same query): {'trilogy': 36} — total 36

## Per-query

| Query | Status | Ref rows | Cand rows | SQL len | Detail |
|------:|:-------|---------:|----------:|--------:|:-------|
| 01 | pass | 100 | 100 | 1549 |  |
| 02 | fail | 53 | 53 | 5861 | result set differs from reference |
| 03 | pass | 89 | 89 | 732 |  |
| 04 | pass | 6 | 6 | 7194 |  |
| 05 | fail | 100 | 100 | 11146 | result set differs from reference |
| 06 | pass | 46 | 46 | 2171 |  |
| 07 | pass | 100 | 100 | 1538 |  |
| 08 | pass | 5 | 5 | 2342 |  |
| 09 | pass | 1 | 1 | 4676 |  |
| 10 | pass | 6 | 6 | 4647 |  |
| 11 | fail | 90 | 86 | 6992 | result set differs from reference |
| 12 | pass | 100 | 100 | 2062 |  |
| 13 | pass | 1 | 1 | 2421 |  |
| 14 | fail | 100 | 100 | 12149 | result set differs from reference |
| 15 | pass | 100 | 100 | 1081 |  |
| 16 | pass | 1 | 1 | 4114 |  |
| 17 | fail | 23 | 100 | 6461 | result set differs from reference |
| 18 | fail | 100 | 100 | 3207 | result set differs from reference |
| 19 | pass | 100 | 100 | 1370 |  |
| 20 | pass | 100 | 100 | 1958 |  |
| 21 | pass | 100 | 100 | 2438 |  |
| 22 | pass | 100 | 100 | 1314 |  |
| 23 | fail | 4 | 19 | 6052 | result set differs from reference |
| 24 | fail | 1 | 10 | 2986 | result set differs from reference |
| 25 | fail | 1 | 6 | 5726 | result set differs from reference |
| 26 | pass | 100 | 100 | 1379 |  |
| 27 | pass | 100 | 100 | 1886 |  |
| 28 | fail | 1 | 1 | 6686 | result set differs from reference |
| 29 | fail | 1 | 15 | 5722 | result set differs from reference |
| 30 | fail | 100 | 100 | 7293 | result set differs from reference |
| 31 | fail | 44 | 44 | 3595 | result set differs from reference |
| 32 | pass | 1 | 1 | 1451 |  |
| 33 | fail | 100 | 100 | 3347 | result set differs from reference |
| 34 | pass | 455 | 455 | 2142 |  |
| 35 | fail | 100 | 100 | 12296 | result set differs from reference |
| 36 | fail | 100 | 100 | 2982 | result set differs from reference |
| 37 | fail | 1 | 2 | 1234 | result set differs from reference |
| 38 | fail | 1 | 1 | 675 | result set differs from reference |
| 39 | pass | 243 | 243 | 4909 |  |
| 40 | pass | 100 | 100 | 1535 |  |
| 41 | fail | 100 | 0 | 2180 | result set differs from reference |
| 42 | pass | 10 | 10 | 871 |  |
| 43 | pass | 6 | 6 | 1356 |  |
| 44 | fail | 10 | 10 | 5211 | result set differs from reference |
| 45 | pass | 19 | 19 | 1482 |  |
| 46 | pass | 100 | 100 | 2084 |  |
| 47 | pass | 100 | 100 | 4660 |  |
| 48 | pass | 1 | 1 | 1907 |  |
| 49 | pass | 34 | 34 | 5485 |  |
| 50 | fail | 6 | 7 | 3751 | result set differs from reference |
| 51 | fail | 100 | 100 | 7577 | result set differs from reference |
| 52 | pass | 100 | 100 | 799 |  |
| 53 | pass | 100 | 100 | 1935 |  |
| 54 | fail | 1 | 1 | 3413 | result set differs from reference |
| 55 | pass | 100 | 100 | 654 |  |
| 56 | pass | 100 | 100 | 3227 |  |
| 57 | pass | 100 | 100 | 4610 |  |
| 58 | pass | 5 | 5 | 4439 |  |
| 59 | fail | 100 | 100 | 17391 | result set differs from reference |
| 60 | pass | 100 | 100 | 3443 |  |
| 61 | pass | 1 | 1 | 1823 |  |
| 62 | pass | 100 | 100 | 2630 |  |
| 63 | pass | 100 | 100 | 1948 |  |
| 64 | fail | 2 | 2 | 12560 | result set differs from reference |
| 65 | pass | 100 | 100 | 2040 |  |
| 66 | fail | 5 | 48 | 9803 | result set differs from reference |
| 67 | fail | 100 | 100 | 7474 | result set differs from reference |
| 68 | fail | 100 | 100 | 3272 | result set differs from reference |
| 69 | pass | 100 | 100 | 4116 |  |
| 70 | fail | 3 | 5 | 1325 | result set differs from reference |
| 71 | pass | 1031 | 1031 | 3356 |  |
| 72 | pass | 100 | 100 | 2981 |  |
| 73 | fail | 1 | 82 | 2267 | result set differs from reference |
| 74 | pass | 92 | 92 | 4120 |  |
