[categories] spawning parallel runs:
   sql_bare   → C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260712-204357_sql_bare
   sql_schema → C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260712-204357_sql_schema
   ingest     → C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260712-204357_ingest
   enriched   → C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260712-204357_enriched
[sql_bare] [1/5] Building TPC-DS DuckDB (sf=1) ...
[sql_bare] [2/5] Category 'sql_bare': setting up workspace ...
[sql_bare] [3/5] Running agent per query (99 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
[sql_bare]   [q01] starting (worker _worker_1)
[sql_bare]   [q02] starting (worker _worker_0)
[enriched] [1/5] Building TPC-DS DuckDB (sf=1) ...
[enriched] [2/5] Category 'enriched': setting up workspace ...
[enriched] [3/5] Running agent per query (99 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
[enriched]   [q02] starting (worker _worker_0)
[enriched]   [q01] starting (worker _worker_1)
[sql_schema] [1/5] Building TPC-DS DuckDB (sf=1) ...
[sql_schema] [2/5] Category 'sql_schema': setting up workspace ...
[sql_schema] [3/5] Running agent per query (99 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
[sql_schema]   [q01] starting (worker _worker_1)
[sql_schema]   [q02] starting (worker _worker_0)
[ingest] [1/5] Building TPC-DS DuckDB (sf=1) ...
[ingest] [2/5] Category 'ingest': setting up workspace ...
[ingest] [3/5] Running agent per query (99 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
[ingest]   [q01] starting (worker _worker_1)
[ingest]   [q02] starting (worker _worker_0)
[sql_schema]   [q01] done in 29s (exit 0, score=pass)
[sql_schema]   [q03] starting (worker _worker_1)
[sql_bare]   [q01] done in 35s (exit 0, score=pass)
[sql_bare]   [q03] starting (worker _worker_1)
[enriched]   [q02] done in 40s (exit 0, score=pass)
[enriched]   [q03] starting (worker _worker_0)
[enriched]   [q01] done in 43s (exit 0, score=fail)
[enriched]   [q04] starting (worker _worker_1)
[sql_schema]   [q03] done in 16s (exit 0, score=pass)
[sql_schema]   [q04] starting (worker _worker_1)
[sql_bare]   [q03] done in 18s (exit 0, score=pass)
[sql_bare]   [q04] starting (worker _worker_1)
[enriched]   [q03] done in 20s (exit 0, score=pass)
[enriched]   [q05] starting (worker _worker_0)
[sql_schema]   [q02] done in 80s (exit 0, score=pass)
[sql_schema]   [q05] starting (worker _worker_0)
[sql_bare]   [q02] done in 84s (exit 0, score=fail)
[sql_bare]   [q05] starting (worker _worker_0)
[enriched]   [q04] done in 69s (exit 0, score=pass)
[sql_schema]   [q04] done in 62s (exit 0, score=pass)
[enriched]   [q06] starting (worker _worker_1)
[sql_schema]   [q06] starting (worker _worker_1)
[ingest]   [q01] done in 120s (exit 0, score=pass)
[ingest]   [q03] starting (worker _worker_1)
[ingest]   [q02] done in 126s (exit 0, score=fail)
[ingest]   [q04] starting (worker _worker_0)
[sql_bare]   [q04] done in 103s (exit 0, score=pass)
[sql_bare]   [q06] starting (worker _worker_1)
[enriched]   [q05] done in 98s (exit 0, score=fail)
[enriched]   [q07] starting (worker _worker_0)
[ingest]   [q03] done in 22s (exit 0, score=pass)
[ingest]   [q05] starting (worker _worker_1)
[sql_schema]   [q06] done in 53s (exit 0, score=pass)
[sql_schema]   [q07] starting (worker _worker_1)
[enriched]   [q07] done in 30s (exit 0, score=pass)
[enriched]   [q08] starting (worker _worker_0)
[ingest]   [q04] done in 52s (exit 0, score=pass)
[ingest]   [q06] starting (worker _worker_0)
[sql_schema]   [q07] done in 36s (exit 0, score=pass)
[sql_schema]   [q08] starting (worker _worker_1)
[sql_bare]   [q06] done in 67s (exit 0, score=fail)
[sql_bare]   [q07] starting (worker _worker_1)
[sql_bare]   [q05] done in 155s (exit 0, score=pass)
[sql_bare]   [q08] starting (worker _worker_0)
[sql_bare]   [q07] done in 17s (exit 0, score=pass)
[sql_bare]   [q09] starting (worker _worker_1)
[enriched]   [q06] done in 143s (exit 0, score=pass)
[enriched]   [q09] starting (worker _worker_1)
[sql_bare]   [q09] done in 26s (exit 0, score=pass)
[sql_bare]   [q10] starting (worker _worker_1)
[enriched]   [q08] done in 87s (exit 0, score=pass)
[enriched]   [q10] starting (worker _worker_0)
[enriched]   [q09] done in 39s (exit 0, score=pass)
[enriched]   [q11] starting (worker _worker_1)
[sql_schema]   [q08] done in 96s (exit 0, score=pass)
[sql_schema]   [q09] starting (worker _worker_1)
[sql_schema]   [q05] done in 233s (exit 0, score=fail)
[sql_schema]   [q10] starting (worker _worker_0)
[sql_bare]   [q10] done in 42s (exit 0, score=pass)
[sql_bare]   [q11] starting (worker _worker_1)
[sql_schema]   [q09] done in 21s (exit 0, score=pass)
[sql_schema]   [q11] starting (worker _worker_1)
[enriched]   [q10] done in 55s (exit 0, score=pass)
[enriched]   [q12] starting (worker _worker_0)
[sql_schema]   [q10] done in 39s (exit 0, score=pass)
[sql_schema]   [q12] starting (worker _worker_0)
[sql_bare]   [q08] done in 119s (exit 0, score=pass)
[sql_bare]   [q12] starting (worker _worker_0)
[sql_bare]   [q11] done in 50s (exit 0, score=pass)
[sql_bare]   [q13] starting (worker _worker_1)
[sql_schema]   [q11] done in 50s (exit 0, score=pass)
[sql_schema]   [q13] starting (worker _worker_1)
[sql_schema]   [q12] done in 26s (exit 0, score=pass)
[sql_schema]   [q14] starting (worker _worker_0)
[enriched]   [q12] done in 36s (exit 0, score=pass)
[enriched]   [q13] starting (worker _worker_0)
[enriched]   [q11] done in 83s (exit 0, score=pass)
[enriched]   [q14] starting (worker _worker_1)
[sql_bare]   [q12] done in 31s (exit 0, score=pass)
[sql_bare]   [q14] starting (worker _worker_0)
[enriched]   [q13] done in 26s (exit 0, score=pass)
[enriched]   [q15] starting (worker _worker_0)
[sql_schema]   [q13] done in 40s (exit 0, score=pass)
[sql_schema]   [q15] starting (worker _worker_1)
[sql_bare]   [q13] done in 51s (exit 0, score=pass)
[sql_bare]   [q15] starting (worker _worker_1)
[enriched]   [q15] done in 26s (exit 0, score=pass)
[enriched]   [q16] starting (worker _worker_0)
