[1/5] Building TPC-DS DuckDB (sf=1) ...
[2/5] Category 'enriched': setting up workspace ...
[3/5] Running agent per query (13 queries, fresh context each, concurrency=4) — deepseek/deepseek-chat ...
  [q02] starting (worker _worker_3)
  [q06] starting (worker _worker_2)
  [q17] starting (worker _worker_1)
  [q44] starting (worker _worker_0)
  [q06] done in 157s (exit 0, score=pass)
  [q49] starting (worker _worker_2)
  [q02] done in 186s (exit 0, score=pass)
  [q50] starting (worker _worker_3)
  [q50] done in 111s (exit 0, score=fail)
  [q59] starting (worker _worker_3)
  [q49] done in 163s (exit 0, score=pass)
  [q64] starting (worker _worker_2)
  [q17] done in 470s (exit 0, score=pass)
  [q75] starting (worker _worker_1)
  [q44] done in 662s (exit 2, score=exhausted)
  [q76] starting (worker _worker_0)
  [q59] done in 409s (exit 0, score=pass)
  [q77] starting (worker _worker_3)
  [q75] done in 246s (exit 0, score=fail)
  [q78] starting (worker _worker_1)
  [q76] done in 207s (exit 0, score=fail)
  [q86] starting (worker _worker_0)
  [q77] done in 228s (exit 0, score=fail)
  [q86] done in 105s (exit 0, score=pass)
  [q64] done in 827s (exit 0, score=fail)
  [q78] done in 574s (exit 0, score=fail)
[4/5] Finalising scores for 13 queries ...
  spliced 86 prior results from 20260607-133403
  wrote C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\dashboard_enriched_v2.png  (86 trilogy failures -> C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\trilogy_failures_enriched.md)
[5/5] Done. Artifacts in C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260607-133609

# TPC-DS Agent Eval — 20260607-133609

- Model: `deepseek/deepseek-chat`
- Scale factor: 1  |  Queries: 99  |  Trilogy: 0.3.282

## Result

- **Pass rate: 51/99** (52%)
- Status breakdown: {'pass': 51, 'timeout': 1, 'fail': 43, 'exhausted': 4}
- Wall time: 1300.0s  |  Agent time: 4346.5s  |  Avg/query: 334.3s
- Agent exit code: 1

## Agent harness metrics

- LLM iterations: 447
- Tool calls: 506  →  {'trilogy': 491, 'return_control_to_user': 15}
- `trilogy` subcommands: {'agent-info': 27, 'file': 175, 'explore': 109, 'run': 179}
- Tool success rate: 83% (420/506 ok)
- Tokens: 19436949 total (19263148 prompt + 173801 completion)
- Reviewer kickbacks: 3/13 verdicts (23% NOT_DONE) — lower is better

## Tool-output sizes

| Tool | calls | avg chars | max chars | truncated | trunc-rate |
|---|---:|---:|---:|---:|---:|
| `trilogy` | 491 | 3151 | 32118 | 0 | 0% |
| `return_control_to_user` | 15 | 26 | 26 | 0 | 0% |

- Repeated calls (same args seen earlier in same query): {'trilogy': 90} — total 90

## Per-query

| Query | Status | Ref rows | Cand rows | SQL len | Detail |
|------:|:-------|---------:|----------:|--------:|:-------|
| 01 | pass | 100 | 100 | 1843 |  |
| 02 | pass | 53 | 53 | 5672 |  |
| 03 | pass | 89 | 89 | 904 |  |
| 04 | pass | 6 | 6 | 6333 |  |
| 05 | timeout | 0 | 0 | 0 | agent timed out (was: missing) — no query file produced |
| 06 | pass | 46 | 46 | 2329 |  |
| 07 | pass | 100 | 100 | 1538 |  |
| 08 | pass | 5 | 5 | 2974 |  |
| 09 | pass | 1 | 1 | 6137 |  |
| 10 | pass | 6 | 6 | 5486 |  |
| 11 | pass | 90 | 90 | 7416 |  |
| 12 | pass | 100 | 100 | 4769 |  |
| 13 | pass | 1 | 1 | 2826 |  |
| 14 | fail | 100 | 100 | 13485 | result set differs from reference |
| 15 | fail | 100 | 100 | 1171 | result set differs from reference |
| 16 | pass | 1 | 1 | 3277 |  |
| 17 | pass | 0 | 0 | 6785 |  |
| 18 | fail | 100 | 100 | 3450 | result set differs from reference |
| 19 | pass | 100 | 100 | 1370 |  |
| 20 | pass | 100 | 100 | 2847 |  |
| 21 | pass | 100 | 100 | 1294 |  |
| 22 | pass | 100 | 100 | 1277 |  |
| 23 | fail | 4 | 0 | 11704 | result set differs from reference |
| 24 | fail | 1 | 1 | 5517 | result set differs from reference |
| 25 | fail | 1 | 36 | 12010 | result set differs from reference |
| 26 | pass | 100 | 100 | 1318 |  |
| 27 | pass | 100 | 100 | 2261 |  |
| 28 | pass | 1 | 1 | 5969 |  |
| 29 | pass | 1 | 1 | 14278 |  |
| 30 | fail | 100 | 100 | 9258 | result set differs from reference |
| 31 | fail | 44 | 45 | 4721 | result set differs from reference |
| 32 | pass | 1 | 1 | 1064 |  |
| 33 | pass | 100 | 100 | 4131 |  |
| 34 | pass | 455 | 455 | 1960 |  |
| 35 | fail | 100 | 100 | 11736 | result set differs from reference |
| 36 | fail | 100 | 100 | 3359 | result set differs from reference |
| 37 | pass | 1 | 1 | 1537 |  |
| 38 | exhausted | 1 | 1 | 867 | agent exhausted iterations (was: fail) — result set differs from reference |
| 39 | pass | 243 | 243 | 2545 |  |
| 40 | fail | 100 | 100 | 3266 | result set differs from reference |
