[1/5] Building TPC-DS DuckDB (sf=1) ...
[2/5] Category 'enriched': setting up workspace ...
[3/5] Running agent per query (10 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
  [q02] starting (worker _worker_1)
  [q05] starting (worker _worker_0)
  [q02] done in 59s (exit 0, score=pass)
  [q11] starting (worker _worker_1)
  [q11] done in 93s (exit 0, score=pass)
  [q14] starting (worker _worker_1)
  [q14] done in 105s (exit 0, score=fail)
  [q17] starting (worker _worker_1)
  [q17] done in 246s (exit 0, score=pass)
  [q23] starting (worker _worker_1)
  [q23] done in 111s (exit 0, score=fail)
  [q54] starting (worker _worker_1)
  [q05] done in 627s (exit 0, score=fail)
  [q64] starting (worker _worker_0)
  [q54] done in 51s (exit 0, score=fail)
  [q75] starting (worker _worker_1)
  [q75] done in 56s (exit 0, score=fail)
  [q80] starting (worker _worker_1)
  [q80] done in 191s (exit 0, score=pass)
  [q64] done in 291s (exit 0, score=fail)
[4/5] Finalising scores for 10 queries ...
  spliced 89 prior results from 20260624-133456
  wrote C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\dashboard_enriched_v2.png  (54 trilogy failures -> C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\trilogy_failures_enriched.md)
[5/5] Done. Artifacts in C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260625-025205

# TPC-DS Agent Eval — 20260625-025205

- Model: `deepseek/deepseek-chat`
- Scale factor: 1  |  Queries: 99  |  Trilogy: 0.3.285

## Result

- **Pass rate: 60/99** (61%)
- Status breakdown: {'pass': 60, 'fail': 39}
- Wall time: 947.8s  |  Agent time: 1830.4s  |  Avg/query: 183.0s
- Agent exit code: 0

## Agent harness metrics

- LLM iterations: 276
- Tool calls: 334  →  {'trilogy': 324, 'return_control_to_user': 10}
- `trilogy` subcommands: {'agent-info': 27, 'file': 78, 'explore': 90, 'run': 125, 'fmt': 1, 'syntax': 1}
- Tool success rate: 84% (280/334 ok)
- Tokens: 10210665 total (10097893 prompt + 112772 completion)

## Tool-output sizes

| Tool | calls | avg chars | max chars | truncated | trunc-rate |
|---|---:|---:|---:|---:|---:|
| `trilogy` | 324 | 3021 | 32230 | 0 | 0% |
| `return_control_to_user` | 10 | 26 | 26 | 0 | 0% |

- Repeated calls (same args seen earlier in same query): {'trilogy': 46} — total 46

## Per-query

| Query | Status | Ref rows | Cand rows | SQL len | Detail |
|------:|:-------|---------:|----------:|--------:|:-------|
| 01 | pass | 100 | 100 | 1577 |  |
| 02 | pass | 53 | 53 | 6133 |  |
| 03 | pass | 89 | 89 | 800 |  |
| 04 | pass | 6 | 6 | 6168 |  |
| 05 | fail | 100 | 100 | 27393 | result set differs from reference |
| 06 | pass | 46 | 46 | 1929 |  |
| 07 | pass | 100 | 100 | 1538 |  |
| 08 | pass | 5 | 5 | 2450 |  |
| 09 | pass | 1 | 1 | 5044 |  |
| 10 | pass | 6 | 6 | 6298 |  |
| 11 | pass | 90 | 90 | 6509 |  |
| 12 | pass | 100 | 100 | 3824 |  |
| 13 | pass | 1 | 1 | 2758 |  |
| 14 | fail | 100 | 100 | 10036 | result set differs from reference |
| 15 | fail | 100 | 100 | 1100 | result set differs from reference |
| 16 | pass | 1 | 1 | 4149 |  |
| 17 | pass | 0 | 0 | 6575 |  |
| 18 | fail | 100 | 100 | 3658 | result set differs from reference |
| 19 | pass | 100 | 100 | 1645 |  |
| 20 | pass | 100 | 100 | 1968 |  |
| 21 | pass | 100 | 100 | 1300 |  |
| 22 | pass | 100 | 100 | 1288 |  |
| 23 | fail | 4 | 19 | 5858 | result set differs from reference |
| 24 | fail | 1 | 10 | 2885 | result set differs from reference |
| 25 | pass | 1 | 1 | 5772 |  |
| 26 | pass | 100 | 100 | 1651 |  |
| 27 | fail | 100 | 100 | 2398 | result set differs from reference |
| 28 | fail | 1 | 1 | 7623 | result set differs from reference |
| 29 | pass | 1 | 1 | 5791 |  |
| 30 | fail | 100 | 100 | 5737 | result set differs from reference |
| 31 | fail | 44 | 44 | 4022 | result set differs from reference |
| 32 | pass | 1 | 1 | 1620 |  |
| 33 | pass | 100 | 100 | 3147 |  |
| 34 | pass | 455 | 455 | 3461 |  |
| 35 | fail | 100 | 100 | 10980 | result set differs from reference |
