[1/5] Building TPC-DS DuckDB (sf=1) ...
[2/5] Category 'enriched': setting up workspace ...
[3/5] Running agent per query (10 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
  [q02] starting (worker _worker_1)
  [q05] starting (worker _worker_0)
  [q02] done in 202s (exit 0, score=pass)
  [q11] starting (worker _worker_1)
  [q11] done in 64s (exit 0, score=pass)
  [q14] starting (worker _worker_1)
  [q05] done in 382s (exit 0, score=fail)
  [q17] starting (worker _worker_0)
  [q17] done in 135s (exit 0, score=pass)
  [q23] starting (worker _worker_0)
  [q14] done in 305s (exit 0, score=fail)
  [q54] starting (worker _worker_1)
  [q23] done in 140s (exit 0, score=fail)
  [q64] starting (worker _worker_0)
  [q54] done in 95s (exit 0, score=fail)
  [q75] starting (worker _worker_1)
  [q75] done in 86s (exit 0, score=fail)
  [q80] starting (worker _worker_1)
  [q64] done in 165s (exit 0, score=fail)
  [q80] done in 212s (exit 0, score=fail)
[4/5] Finalising scores for 10 queries ...
  spliced 89 prior results from 20260625-150049
  wrote C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\dashboard_enriched_v2.png  (66 trilogy failures -> C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\trilogy_failures_enriched.md)
[5/5] Done. Artifacts in C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260625-155234

# TPC-DS Agent Eval — 20260625-155234

- Model: `deepseek/deepseek-chat`
- Scale factor: 1  |  Queries: 99  |  Trilogy: 0.3.286

## Result

- **Pass rate: 59/99** (60%)
- Status breakdown: {'pass': 59, 'fail': 40}
- Wall time: 977.8s  |  Agent time: 1786.7s  |  Avg/query: 178.7s
- Agent exit code: 0

## Agent harness metrics

- LLM iterations: 314
- Tool calls: 372  →  {'trilogy': 362, 'return_control_to_user': 10}
- `trilogy` subcommands: {'agent-info': 30, 'file': 118, 'explore': 88, 'run': 123}
- Tool success rate: 82% (306/372 ok)
- Tokens: 12264056 total (12135487 prompt + 128569 completion)

## Tool-output sizes

| Tool | calls | avg chars | max chars | truncated | trunc-rate |
|---|---:|---:|---:|---:|---:|
| `trilogy` | 362 | 3138 | 32415 | 0 | 0% |
| `return_control_to_user` | 10 | 26 | 26 | 0 | 0% |

- Repeated calls (same args seen earlier in same query): {'trilogy': 58} — total 58

## Per-query

| Query | Status | Ref rows | Cand rows | SQL len | Detail |
|------:|:-------|---------:|----------:|--------:|:-------|
| 01 | pass | 100 | 100 | 1577 |  |
| 02 | pass | 53 | 53 | 8294 |  |
| 03 | pass | 89 | 89 | 800 |  |
| 04 | pass | 6 | 6 | 6168 |  |
| 05 | fail | 100 | 100 | 11648 | result set differs from reference |
| 06 | pass | 46 | 46 | 1929 |  |
| 07 | pass | 100 | 100 | 1538 |  |
| 08 | pass | 5 | 5 | 2450 |  |
| 09 | pass | 1 | 1 | 5044 |  |
| 10 | pass | 6 | 6 | 6298 |  |
| 11 | pass | 90 | 90 | 5653 |  |
| 12 | pass | 100 | 100 | 3824 |  |
| 13 | pass | 1 | 1 | 2758 |  |
| 14 | fail | 100 | 100 | 7362 | result set differs from reference |
| 15 | fail | 100 | 100 | 1100 | result set differs from reference |
| 16 | pass | 1 | 1 | 4149 |  |
| 17 | pass | 0 | 0 | 6647 |  |
| 18 | fail | 100 | 100 | 3658 | result set differs from reference |
| 19 | pass | 100 | 100 | 1645 |  |
| 20 | pass | 100 | 100 | 1968 |  |
| 21 | pass | 100 | 100 | 1300 |  |
| 22 | pass | 100 | 100 | 1288 |  |
| 23 | fail | 4 | 19 | 6562 | result set differs from reference |
| 24 | fail | 1 | 10 | 2885 | result set differs from reference |
| 25 | pass | 1 | 1 | 5772 |  |
| 26 | pass | 100 | 100 | 1651 |  |
| 27 | fail | 100 | 100 | 2398 | result set differs from reference |
| 28 | fail | 1 | 1 | 7623 | result set differs from reference |
| 29 | pass | 1 | 1 | 5791 |  |
| 30 | fail | 100 | 100 | 5737 | result set differs from reference |
| 31 | fail | 44 | 44 | 4022 | result set differs from reference |
| 32 | pass | 1 | 1 | 1620 |  |
| 33 | pass | 100 | 100 | 3147 |  |
| 34 | pass | 455 | 455 | 3461 |  |
| 35 | fail | 100 | 100 | 10980 | result set differs from reference |
| 36 | pass | 100 | 100 | 2195 |  |
| 37 | fail | 1 | 2 | 1209 | result set differs from reference |
| 38 | fail | 1 | 1 | 1105 | result set differs from reference |
| 39 | pass | 243 | 243 | 4662 |  |
| 40 | fail | 100 | 100 | 1418 | result set differs from reference |
| 41 | pass | 100 | 100 | 1848 |  |
| 42 | pass | 10 | 10 | 745 |  |
| 43 | pass | 6 | 6 | 1640 |  |
| 44 | pass | 10 | 10 | 5626 |  |
| 45 | pass | 19 | 19 | 1490 |  |
| 46 | pass | 100 | 100 | 2372 |  |
| 47 | pass | 100 | 100 | 5770 |  |
| 48 | pass | 1 | 1 | 2182 |  |
| 49 | fail | 34 | 34 | 5826 | result set differs from reference |
| 50 | fail | 6 | 7 | 3222 | result set differs from reference |
| 51 | fail | 100 | 100 | 5497 | result set differs from reference |
| 52 | pass | 100 | 100 | 794 |  |
| 53 | pass | 100 | 100 | 2380 |  |
| 54 | fail | 1 | 1 | 3283 | result set differs from reference |
| 55 | pass | 100 | 100 | 832 |  |
| 56 | fail | 100 | 100 | 3407 | result set differs from reference |
| 57 | pass | 100 | 100 | 3956 |  |
| 58 | pass | 5 | 5 | 4326 |  |
| 59 | pass | 100 | 100 | 6343 |  |
| 60 | pass | 100 | 100 | 3171 |  |
| 61 | pass | 1 | 1 | 2045 |  |
| 62 | pass | 100 | 100 | 2639 |  |
| 63 | pass | 100 | 100 | 1885 |  |
| 64 | fail | 2 | 2 | 16463 | result set differs from reference |
| 65 | fail | 100 | 100 | 3440 | result set differs from reference |
| 66 | fail | 5 | 60 | 4692 | result set differs from reference |
| 67 | fail | 100 | 100 | 3658 | result set differs from reference |
| 68 | pass | 100 | 100 | 2418 |  |
| 69 | fail | 100 | 100 | 4156 | result set differs from reference |
| 70 | pass | 3 | 3 | 2745 |  |
| 71 | pass | 1031 | 1031 | 3356 |  |
| 72 | pass | 100 | 100 | 2952 |  |
| 73 | fail | 1 | 9 | 2090 | result set differs from reference |
| 74 | fail | 92 | 90 | 5766 | result set differs from reference |
| 75 | fail | 100 | 100 | 8284 | result set differs from reference |
| 76 | fail | 100 | 100 | 5305 | result set differs from reference |
| 77 | fail | 44 | 76 | 5259 | result set differs from reference |
| 78 | fail | 100 | 100 | 6930 | result set differs from reference |
| 79 | fail | 100 | 100 | 1621 | result set differs from reference |
| 80 | fail | 100 | 100 | 8278 | result set differs from reference |
| 81 | fail | 100 | 100 | 8775 | result set differs from reference |
| 82 | pass | 2 | 2 | 1095 |  |
| 83 | pass | 24 | 24 | 4727 |  |
| 84 | fail | 16 | 100 | 1547 | result set differs from reference |
| 85 | pass | 1 | 1 | 3859 |  |
| 86 | pass | 100 | 100 | 1866 |  |
| 87 | fail | 1 | 1 | 2220 | result set differs from reference |
| 88 | pass | 1 | 1 | 2101 |  |
| 89 | pass | 100 | 100 | 4025 |  |
| 90 | pass | 1 | 1 | 1619 |  |
| 91 | fail | 2 | 2 | 2373 | result set differs from reference |
| 92 | fail | 1 | 1 | 1090 | result set differs from reference |
| 93 | pass | 100 | 100 | 1001 |  |
| 94 | fail | 1 | 1 | 2850 | result set differs from reference |
| 95 | pass | 1 | 1 | 4791 |  |
| 96 | pass | 1 | 1 | 988 |  |
| 97 | fail | 1 | 1 | 861 | result set differs from reference |
| 98 | fail | 2521 | 2521 | 3336 | result set differs from reference |
| 99 | pass | 90 | 90 | 3278 |  |

## Agent final message

> The query `query80.preql` has been written and validated. It runs successfully and produces the requested rollup of sales, returns, and profit by channel and outlet for the period 2000-08-23 through 2000-09-22, filtered to items with current_price > 50 and promotions with channel_tv = 'N'. The query uses a union of the three channel-specific models (store_sales, catalog_sales, web_sales) to access each channel's outlet dimension (store.text_id, catalog_page.text_id, web_site.text_id), joins to catalog_returns and web_returns for return net loss, and aggregates with rollup for per-outlet, per-channel subtotals, and grand total rows. Results are ordered by channel and outlet_id nulls first, limited to 100 rows.

