[1/5] Building TPC-DS DuckDB (sf=1) ...
[2/5] Category 'enriched': setting up workspace ...
[3/5] Running agent per query (10 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
  [q02] starting (worker _worker_1)
  [q05] starting (worker _worker_0)
  [q02] done in 187s (exit 0, score=fail)
  [q11] starting (worker _worker_1)
  [q11] done in 190s (exit 0, score=pass)
  [q14] starting (worker _worker_1)
  [q05] done in 413s (exit 2, score=exhausted)
  [q17] starting (worker _worker_0)
  [q17] done in 126s (exit 0, score=fail)
  [q23] starting (worker _worker_0)
  [q23] done in 60s (exit 0, score=fail)
  [q54] starting (worker _worker_0)
  [q54] done in 156s (exit 0, score=fail)
  [q64] starting (worker _worker_0)
  [q64] done in 151s (exit 0, score=fail)
  [q75] starting (worker _worker_0)
  [q14] done in 574s (exit 1, score=crashed)
  [q80] starting (worker _worker_1)
  [q80] done in 64s (exit 0, score=fail)
  [q75] done in 166s (exit 0, score=fail)
[4/5] Finalising scores for 10 queries ...
  spliced 89 prior results from 20260625-120155
  wrote C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\dashboard_enriched_v2.png  (52 trilogy failures -> C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\trilogy_failures_enriched.md)
[5/5] Done. Artifacts in C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260625-150049

# TPC-DS Agent Eval — 20260625-150049

- Model: `deepseek/deepseek-chat`
- Scale factor: 1  |  Queries: 99  |  Trilogy: 0.3.286

## Result

- **Pass rate: 57/99** (58%)
- Status breakdown: {'pass': 57, 'fail': 40, 'exhausted': 1, 'crashed': 1}
- Wall time: 1085.3s  |  Agent time: 2086.4s  |  Avg/query: 208.6s
- Agent exit code: 1

## Agent harness metrics

- LLM iterations: 270
- Tool calls: 323  →  {'trilogy': 315, 'return_control_to_user': 8}
- `trilogy` subcommands: {'agent-info': 28, 'file': 79, 'explore': 84, 'run': 124}
- Tool success rate: 84% (271/323 ok)
- Tokens: 10180116 total (10072862 prompt + 107254 completion)

## Tool-output sizes

| Tool | calls | avg chars | max chars | truncated | trunc-rate |
|---|---:|---:|---:|---:|---:|
| `trilogy` | 315 | 398428 | 124479396 | 0 | 0% |
| `return_control_to_user` | 8 | 26 | 26 | 0 | 0% |

- Repeated calls (same args seen earlier in same query): {'trilogy': 40} — total 40

## Per-query

| Query | Status | Ref rows | Cand rows | SQL len | Detail |
|------:|:-------|---------:|----------:|--------:|:-------|
| 01 | pass | 100 | 100 | 1577 |  |
| 02 | fail | 53 | 53 | 6516 | result set differs from reference |
| 03 | pass | 89 | 89 | 800 |  |
| 04 | pass | 6 | 6 | 6168 |  |
| 05 | exhausted | 0 | 0 | 0 | agent exhausted iterations (was: error) — generate_sql: RecursionError: maximum  |
| 06 | pass | 46 | 46 | 1929 |  |
| 07 | pass | 100 | 100 | 1538 |  |
| 08 | pass | 5 | 5 | 2450 |  |
| 09 | pass | 1 | 1 | 5044 |  |
| 10 | pass | 6 | 6 | 6298 |  |
| 11 | pass | 90 | 90 | 10647 |  |
| 12 | pass | 100 | 100 | 3824 |  |
| 13 | pass | 1 | 1 | 2758 |  |
| 14 | crashed | 0 | 0 | 0 | agent crashed (exit 1, was: missing) — no query file produced |
| 15 | fail | 100 | 100 | 1100 | result set differs from reference |
| 16 | pass | 1 | 1 | 4149 |  |
| 17 | fail | 0 | 5 | 6784 | result set differs from reference |
| 18 | fail | 100 | 100 | 3658 | result set differs from reference |
| 19 | pass | 100 | 100 | 1645 |  |
| 20 | pass | 100 | 100 | 1968 |  |
| 21 | pass | 100 | 100 | 1300 |  |
| 22 | pass | 100 | 100 | 1288 |  |
| 23 | fail | 4 | 19 | 6183 | result set differs from reference |
| 24 | fail | 1 | 10 | 2885 | result set differs from reference |
| 25 | pass | 1 | 1 | 5772 |  |
| 26 | pass | 100 | 100 | 1651 |  |
| 27 | fail | 100 | 100 | 2398 | result set differs from reference |
| 28 | fail | 1 | 1 | 7623 | result set differs from reference |
| 29 | pass | 1 | 1 | 5791 |  |
| 30 | fail | 100 | 100 | 5737 | result set differs from reference |
| 31 | fail | 44 | 44 | 4022 | result set differs from reference |
| 32 | pass | 1 | 1 | 1620 |  |
| 33 | pass | 100 | 100 | 3147 |  |
