[1/5] Building TPC-DS DuckDB (sf=1) ...
[2/5] Category 'enriched': setting up workspace ...
[3/5] Running agent per query (10 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
  [q02] starting (worker _worker_1)
  [q05] starting (worker _worker_0)
  [q02] done in 167s (exit 0, score=fail)
  [q11] starting (worker _worker_1)
  [q11] done in 118s (exit 0, score=fail)
  [q14] starting (worker _worker_1)
  [q05] done in 509s (exit 2, score=exhausted)
  [q17] starting (worker _worker_0)
  [q17] done in 195s (exit 0, score=fail)
  [q23] starting (worker _worker_0)
  [q14] done in 462s (exit 0, score=fail)
  [q54] starting (worker _worker_1)
  [q23] done in 125s (exit 0, score=fail)
  [q64] starting (worker _worker_0)
  [q54] done in 120s (exit 0, score=fail)
  [q75] starting (worker _worker_1)
  [q75] done in 109s (exit 0, score=pass)
  [q80] starting (worker _worker_1)
  [q64] done in 272s (exit 0, score=fail)
  [q80] done in 135s (exit 0, score=fail)
[4/5] Finalising scores for 10 queries ...
  spliced 89 prior results from 20260625-155234
  wrote C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\dashboard_enriched_v2.png  (62 trilogy failures -> C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\trilogy_failures_enriched.md)
[5/5] Done. Artifacts in C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260625-183939

# TPC-DS Agent Eval — 20260625-183939

- Model: `deepseek/deepseek-chat`
- Scale factor: 1  |  Queries: 99  |  Trilogy: 0.3.286

## Result

- **Pass rate: 57/99** (58%)
- Status breakdown: {'pass': 57, 'fail': 41, 'exhausted': 1}
- Wall time: 1122.9s  |  Agent time: 2213.1s  |  Avg/query: 221.3s
- Agent exit code: 1

## Agent harness metrics

- LLM iterations: 355
- Tool calls: 407  →  {'trilogy': 398, 'return_control_to_user': 9}
- `trilogy` subcommands: {'agent-info': 30, 'explore': 82, 'run': 183, 'file': 102}
- Tool success rate: 85% (345/407 ok)
- Tokens: 15440433 total (15292207 prompt + 148226 completion)

## Tool-output sizes

| Tool | calls | avg chars | max chars | truncated | trunc-rate |
|---|---:|---:|---:|---:|---:|
| `trilogy` | 398 | 3276 | 36950 | 0 | 0% |
| `return_control_to_user` | 9 | 26 | 26 | 0 | 0% |

- Repeated calls (same args seen earlier in same query): {'trilogy': 69} — total 69

## Per-query

| Query | Status | Ref rows | Cand rows | SQL len | Detail |
|------:|:-------|---------:|----------:|--------:|:-------|
| 01 | pass | 100 | 100 | 1577 |  |
| 02 | fail | 53 | 53 | 6386 | result set differs from reference |
| 03 | pass | 89 | 89 | 800 |  |
| 04 | pass | 6 | 6 | 6168 |  |
| 05 | exhausted | 100 | 100 | 11473 | agent exhausted iterations (was: fail) — result set differs from reference |
| 06 | pass | 46 | 46 | 1929 |  |
| 07 | pass | 100 | 100 | 1538 |  |
| 08 | pass | 5 | 5 | 2450 |  |
| 09 | pass | 1 | 1 | 5044 |  |
| 10 | pass | 6 | 6 | 6298 |  |
| 11 | fail | 90 | 91 | 4255 | result set differs from reference |
| 12 | pass | 100 | 100 | 3824 |  |
| 13 | pass | 1 | 1 | 2758 |  |
| 14 | fail | 100 | 100 | 8063 | result set differs from reference |
| 15 | fail | 100 | 100 | 1100 | result set differs from reference |
| 16 | pass | 1 | 1 | 4149 |  |
| 17 | fail | 0 | 100 | 5879 | result set differs from reference |
| 18 | fail | 100 | 100 | 3658 | result set differs from reference |
| 19 | pass | 100 | 100 | 1645 |  |
| 20 | pass | 100 | 100 | 1968 |  |
| 21 | pass | 100 | 100 | 1300 |  |
| 22 | pass | 100 | 100 | 1288 |  |
| 23 | fail | 4 | 0 | 9293 | result set differs from reference |
| 24 | fail | 1 | 10 | 2885 | result set differs from reference |
| 25 | pass | 1 | 1 | 5772 |  |
| 26 | pass | 100 | 100 | 1651 |  |
| 27 | fail | 100 | 100 | 2398 | result set differs from reference |
| 28 | fail | 1 | 1 | 7623 | result set differs from reference |
| 29 | pass | 1 | 1 | 5791 |  |
| 30 | fail | 100 | 100 | 5737 | result set differs from reference |
| 31 | fail | 44 | 44 | 4022 | result set differs from reference |
| 32 | pass | 1 | 1 | 1620 |  |
| 33 | pass | 100 | 100 | 3147 |  |
| 34 | pass | 455 | 455 | 3461 |  |
| 35 | fail | 100 | 100 | 10980 | result set differs from reference |
| 36 | pass | 100 | 100 | 2195 |  |
| 37 | fail | 1 | 2 | 1209 | result set differs from reference |
| 38 | fail | 1 | 1 | 1105 | result set differs from reference |
| 39 | pass | 243 | 243 | 4662 |  |
| 40 | fail | 100 | 100 | 1418 | result set differs from reference |
| 41 | pass | 100 | 100 | 1848 |  |
| 42 | pass | 10 | 10 | 745 |  |
| 43 | pass | 6 | 6 | 1640 |  |
| 44 | pass | 10 | 10 | 5626 |  |
| 45 | pass | 19 | 19 | 1490 |  |
| 46 | pass | 100 | 100 | 2372 |  |
| 47 | pass | 100 | 100 | 5770 |  |
| 48 | pass | 1 | 1 | 2182 |  |
| 49 | fail | 34 | 34 | 5826 | result set differs from reference |
| 50 | fail | 6 | 7 | 3222 | result set differs from reference |
| 51 | fail | 100 | 100 | 5497 | result set differs from reference |
| 52 | pass | 100 | 100 | 794 |  |
| 53 | pass | 100 | 100 | 2380 |  |
| 54 | fail | 1 | 1 | 3595 | result set differs from reference |
| 55 | pass | 100 | 100 | 832 |  |
