[1/5] Building TPC-DS DuckDB (sf=1) ...
[2/5] Category 'enriched': setting up workspace ...
[3/5] Running agent per query (10 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
  [q02] starting (worker _worker_1)
  [q05] starting (worker _worker_0)
  [q02] done in 160s (exit 0, score=pass)
  [q11] starting (worker _worker_1)
  [q11] done in 124s (exit 0, score=fail)
  [q14] starting (worker _worker_1)
  [q14] done in 105s (exit 0, score=fail)
  [q17] starting (worker _worker_1)
  [q17] done in 117s (exit 0, score=pass)
  [q23] starting (worker _worker_1)
  [q23] done in 71s (exit 0, score=fail)
  [q54] starting (worker _worker_1)
  [q54] done in 60s (exit 0, score=fail)
  [q64] starting (worker _worker_1)
  [q05] done in 674s (exit 2, score=exhausted)
  [q75] starting (worker _worker_0)
  [q75] done in 135s (exit 0, score=pass)
  [q80] starting (worker _worker_0)
  [q80] done in 89s (exit 0, score=fail)
  [q64] done in 253s (exit 0, score=fail)
[4/5] Finalising scores for 10 queries ...
  spliced 89 prior results from 20260625-183939
  wrote C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\dashboard_enriched_v2.png  (44 trilogy failures -> C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\trilogy_failures_enriched.md)
[5/5] Done. Artifacts in C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260625-191717

# TPC-DS Agent Eval — 20260625-191717

- Model: `deepseek/deepseek-chat`
- Scale factor: 1  |  Queries: 99  |  Trilogy: 0.3.286

## Result

- **Pass rate: 59/99** (60%)
- Status breakdown: {'pass': 59, 'exhausted': 1, 'fail': 39}
- Wall time: 909.9s  |  Agent time: 1788.4s  |  Avg/query: 178.8s
- Agent exit code: 1

## Agent harness metrics

- LLM iterations: 251
- Tool calls: 290  →  {'trilogy': 280, 'return_control_to_user': 9, 'run': 1}
- `trilogy` subcommands: {'agent-info': 20, 'file': 77, 'explore': 78, 'run': 102, 'fmt': 1}
- Tool success rate: 84% (245/290 ok)
- Tokens: 10228838 total (10123776 prompt + 105062 completion)

## Tool-output sizes

| Tool | calls | avg chars | max chars | truncated | trunc-rate |
|---|---:|---:|---:|---:|---:|
| `trilogy` | 280 | 4161 | 32415 | 0 | 0% |
| `return_control_to_user` | 9 | 26 | 26 | 0 | 0% |
| `run` | 1 | 83 | 83 | 0 | 0% |

- Repeated calls (same args seen earlier in same query): {'trilogy': 46} — total 46

## Per-query

| Query | Status | Ref rows | Cand rows | SQL len | Detail |
|------:|:-------|---------:|----------:|--------:|:-------|
| 01 | pass | 100 | 100 | 1577 |  |
| 02 | pass | 53 | 53 | 4482 |  |
| 03 | pass | 89 | 89 | 800 |  |
| 04 | pass | 6 | 6 | 6168 |  |
| 05 | exhausted | 100 | 100 | 9684 | agent exhausted iterations (was: fail) — result set differs from reference |
| 06 | pass | 46 | 46 | 1929 |  |
| 07 | pass | 100 | 100 | 1538 |  |
| 08 | pass | 5 | 5 | 2450 |  |
| 09 | pass | 1 | 1 | 5044 |  |
| 10 | pass | 6 | 6 | 6298 |  |
| 11 | fail | 90 | 100 | 1036 | result set differs from reference |
| 12 | pass | 100 | 100 | 3824 |  |
| 13 | pass | 1 | 1 | 2758 |  |
| 14 | fail | 100 | 100 | 9099 | result set differs from reference |
| 15 | fail | 100 | 100 | 1100 | result set differs from reference |
| 16 | pass | 1 | 1 | 4149 |  |
| 17 | pass | 0 | 0 | 6767 |  |
| 18 | fail | 100 | 100 | 3658 | result set differs from reference |
| 19 | pass | 100 | 100 | 1645 |  |
| 20 | pass | 100 | 100 | 1968 |  |
| 21 | pass | 100 | 100 | 1300 |  |
| 22 | pass | 100 | 100 | 1288 |  |
| 23 | fail | 4 | 19 | 5783 | result set differs from reference |
| 24 | fail | 1 | 10 | 2885 | result set differs from reference |
| 25 | pass | 1 | 1 | 5772 |  |
| 26 | pass | 100 | 100 | 1651 |  |
| 27 | fail | 100 | 100 | 2398 | result set differs from reference |
| 28 | fail | 1 | 1 | 7623 | result set differs from reference |
| 29 | pass | 1 | 1 | 5791 |  |
| 30 | fail | 100 | 100 | 5737 | result set differs from reference |
| 31 | fail | 44 | 44 | 4022 | result set differs from reference |
| 32 | pass | 1 | 1 | 1620 |  |
| 33 | pass | 100 | 100 | 3147 |  |
