[1/5] Building TPC-DS DuckDB (sf=1) ...
[2/5] Category 'enriched': setting up workspace ...
[3/5] Running agent per query (10 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
  [q02] starting (worker _worker_1)
  [q05] starting (worker _worker_0)
  [q05] done in 151s (exit 0, score=fail)
  [q11] starting (worker _worker_0)
  [q02] done in 180s (exit 0, score=fail)
  [q14] starting (worker _worker_1)
  [q11] done in 65s (exit 0, score=fail)
  [q17] starting (worker _worker_0)
  [q14] done in 87s (exit 0, score=fail)
  [q23] starting (worker _worker_1)
  [q17] done in 89s (exit 0, score=fail)
  [q54] starting (worker _worker_0)
  [q54] done in 73s (exit 0, score=fail)
  [q64] starting (worker _worker_0)
  [q23] done in 152s (exit 0, score=fail)
  [q75] starting (worker _worker_1)
  [q64] done in 95s (exit 0, score=fail)
  [q80] starting (worker _worker_0)
  [q75] done in 163s (exit 0, score=fail)
  [q80] done in 107s (exit 0, score=fail)
[4/5] Finalising scores for 10 queries ...
  spliced 89 prior results from 20260626-031753
  wrote C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\dashboard_enriched_v2.png  (33 trilogy failures -> C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\trilogy_failures_enriched.md)
[5/5] Done. Artifacts in C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260626-125555

# TPC-DS Agent Eval — 20260626-125555

- Model: `deepseek/deepseek-chat`
- Scale factor: 1  |  Queries: 99  |  Trilogy: 0.3.286

## Result

- **Pass rate: 56/99** (57%)
- Status breakdown: {'pass': 56, 'fail': 43}
- Wall time: 593.6s  |  Agent time: 1161.9s  |  Avg/query: 116.2s
- Agent exit code: 0

## Agent harness metrics

- LLM iterations: 184
- Tool calls: 218  →  {'trilogy': 208, 'return_control_to_user': 10}
- `trilogy` subcommands: {'agent-info': 24, 'explore': 72, 'file': 57, 'run': 53}
- Tool success rate: 85% (185/218 ok)
- Tokens: 5168835 total (5093873 prompt + 74962 completion)

## Tool-output sizes

| Tool | calls | avg chars | max chars | truncated | trunc-rate |
|---|---:|---:|---:|---:|---:|
| `trilogy` | 208 | 4773 | 32395 | 0 | 0% |
| `return_control_to_user` | 10 | 26 | 26 | 0 | 0% |

- Repeated calls (same args seen earlier in same query): {'trilogy': 33} — total 33

## Per-query

| Query | Status | Ref rows | Cand rows | SQL len | Detail |
|------:|:-------|---------:|----------:|--------:|:-------|
| 01 | pass | 100 | 100 | 1577 |  |
| 02 | fail | 53 | 53 | 3571 | result set differs from reference |
| 03 | pass | 89 | 89 | 800 |  |
| 04 | pass | 6 | 6 | 6168 |  |
| 05 | fail | 100 | 100 | 10311 | result set differs from reference |
| 06 | pass | 46 | 46 | 1929 |  |
| 07 | pass | 100 | 100 | 1538 |  |
| 08 | pass | 5 | 5 | 2450 |  |
| 09 | pass | 1 | 1 | 5044 |  |
| 10 | pass | 6 | 6 | 6298 |  |
| 11 | fail | 90 | 90 | 6230 | result set differs from reference |
| 12 | pass | 100 | 100 | 3824 |  |
| 13 | pass | 1 | 1 | 2758 |  |
| 14 | fail | 100 | 100 | 5361 | result set differs from reference |
| 15 | fail | 100 | 100 | 1100 | result set differs from reference |
| 16 | pass | 1 | 1 | 4149 |  |
| 17 | fail | 0 | 5 | 8199 | result set differs from reference |
| 18 | fail | 100 | 100 | 3658 | result set differs from reference |
| 19 | pass | 100 | 100 | 1645 |  |
| 20 | pass | 100 | 100 | 1968 |  |
| 21 | pass | 100 | 100 | 1300 |  |
| 22 | pass | 100 | 100 | 1288 |  |
| 23 | fail | 4 | 100 | 7020 | result set differs from reference |
| 24 | fail | 1 | 10 | 2885 | result set differs from reference |
| 25 | pass | 1 | 1 | 5772 |  |
| 26 | pass | 100 | 100 | 1651 |  |
| 27 | fail | 100 | 100 | 2398 | result set differs from reference |
| 28 | fail | 1 | 1 | 7623 | result set differs from reference |
| 29 | pass | 1 | 1 | 5791 |  |
| 30 | fail | 100 | 100 | 5737 | result set differs from reference |
| 31 | fail | 44 | 44 | 4022 | result set differs from reference |
| 32 | pass | 1 | 1 | 1620 |  |
| 33 | pass | 100 | 100 | 3147 |  |
