[categories] spawning parallel runs:
   sql_bare   → C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpch_agent\results\20260629-165054_sql_bare
   sql_schema → C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpch_agent\results\20260629-165054_sql_schema
   ingest     → C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpch_agent\results\20260629-165054_ingest
   enriched   → C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpch_agent\results\20260629-165054_enriched
[sql_bare] [1/5] Building TPC-H DuckDB (sf=0.1) ...
[sql_bare] [2/5] Category 'sql_bare': setting up workspace ...
[sql_bare] [3/5] Running agent per query (22 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
[sql_bare]   [q01] starting (worker _worker_1)
[sql_bare]   [q02] starting (worker _worker_0)
[enriched] [1/5] Building TPC-H DuckDB (sf=0.1) ...
[enriched] [2/5] Category 'enriched': setting up workspace ...
[enriched] [3/5] Running agent per query (22 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
[enriched]   [q01] starting (worker _worker_1)
[enriched]   [q02] starting (worker _worker_0)
[sql_schema] [1/5] Building TPC-H DuckDB (sf=0.1) ...
[sql_schema] [2/5] Category 'sql_schema': setting up workspace ...
[sql_schema] [3/5] Running agent per query (22 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
[sql_schema]   [q01] starting (worker _worker_1)
[sql_schema]   [q02] starting (worker _worker_0)
[ingest] [1/5] Building TPC-H DuckDB (sf=0.1) ...
[ingest] [2/5] Category 'ingest': setting up workspace ...
[ingest] [3/5] Running agent per query (22 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
[ingest]   [q01] starting (worker _worker_1)
[ingest]   [q02] starting (worker _worker_0)
[sql_schema]   [q01] done in 13s (exit 0, score=pass)
[sql_schema]   [q03] starting (worker _worker_1)
[sql_bare]   [q01] done in 19s (exit 0, score=pass)
[sql_bare]   [q03] starting (worker _worker_1)
[sql_schema]   [q02] done in 21s (exit 0, score=pass)
[sql_schema]   [q04] starting (worker _worker_0)
[enriched]   [q01] done in 25s (exit 0, score=pass)
[enriched]   [q03] starting (worker _worker_1)
[ingest]   [q01] done in 26s (exit 0, score=pass)
[sql_schema]   [q03] done in 14s (exit 0, score=pass)
[sql_schema]   [q05] starting (worker _worker_1)
[ingest]   [q03] starting (worker _worker_1)
[sql_bare]   [q02] done in 30s (exit 0, score=pass)
[sql_bare]   [q04] starting (worker _worker_0)
[sql_schema]   [q04] done in 12s (exit 0, score=pass)
[sql_schema]   [q06] starting (worker _worker_0)
[sql_bare]   [q03] done in 15s (exit 0, score=pass)
[sql_bare]   [q05] starting (worker _worker_1)
