tpcds/query-1 0.30s
tpcds/query-2 0.18s
tpcds/query-3 0.24s
tpcds/query01 0.10s
tpcds/query01_agg 0.07s
tpcds/query02-one 0.77s
tpcds/query02-two 0.73s
tpcds/query02 0.45s
tpcds/query03 0.08s
tpcds/query04 2.03s
[v4] source search hit cover_limit over 46 candidates for terminals s.channel,s.channel_dim_id,s.channel_dim_text_id,s.ext_sales_price,s.item.sk,s.net_profit,s.order_id,s.return_amount,s.return_channel_dim_id,s.return_channel_dim_text_id,s.return_date.date,s.return_date.sk,s.return_net_loss,s.sale_date.date,s.sale_date.sk: solution kept but it may not be cost-minimal
tpcds/query05 5.91s
tpcds/query06 0.10s
tpcds/query07 0.09s
tpcds/query08 1.05s
tpcds/query09 0.42s
tpcds/query10 0.38s
tpcds/query11 2.16s
tpcds/query12 0.14s
tpcds/query13 0.11s
tpcds/query14 0.74s
tpcds/query15 0.12s
tpcds/query16 0.20s
tpcds/query17 0.20s
tpcds/query18 0.29s
tpcds/query19 0.11s
tpcds/query20 0.18s
tpcds/query21 0.21s
tpcds/query22 0.03s
tpcds/query23 2.24s
tpcds/query24 0.28s
tpcds/query25 0.12s
tpcds/query26 0.15s
tpcds/query27 0.16s
tpcds/query28 0.23s
tpcds/query29 0.40s
tpcds/query30-alt 0.27s
tpcds/query30 0.21s
tpcds/query31 0.50s
tpcds/query32 0.11s
tpcds/query33 0.25s
tpcds/query34 0.32s
tpcds/query35 1.04s
tpcds/query36 0.15s
tpcds/query37 0.15s
tpcds/query38 0.47s
tpcds/query39 0.07s
tpcds/query40 0.53s
tpcds/query41 0.24s
tpcds/query42 0.08s
tpcds/query43 0.24s
tpcds/query44 0.27s
tpcds/query45 0.26s
tpcds/query46 0.20s
tpcds/query47 0.21s
tpcds/query48 0.14s
tpcds/query49 0.20s
tpcds/query50 0.35s
tpcds/query51 0.80s
tpcds/query52 0.08s
tpcds/query53 0.15s
tpcds/query54 0.53s
tpcds/query55 0.08s
tpcds/query56 0.26s
tpcds/query57 0.20s
tpcds/query58 0.24s
tpcds/query59 0.28s
tpcds/query60 0.26s
tpcds/query61 0.11s
tpcds/query62 0.52s
tpcds/query63 0.12s
tpcds/query64 1.57s
tpcds/query65 0.12s
tpcds/query66 1.55s
tpcds/query67 0.14s
tpcds/query68 0.21s
tpcds/query69 0.80s
tpcds/query70 0.21s
tpcds/query71 0.29s
tpcds/query72 0.37s
tpcds/query73 1.76s
tpcds/query74 0.94s
tpcds/query75 0.33s
tpcds/query76 1.11s
tpcds/query77 2.48s
tpcds/query78 0.33s
tpcds/query79 0.12s
tpcds/query80 0.94s
tpcds/query81 0.25s
tpcds/query82.1 0.15s
tpcds/query82 0.08s
tpcds/query83 0.32s
tpcds/query84 0.12s
tpcds/query85 0.18s
tpcds/query86 0.15s
tpcds/query87 0.54s
tpcds/query88 0.28s
tpcds/query89 0.16s
tpcds/query90 0.17s
tpcds/query91 0.16s
tpcds/query92 0.12s
tpcds/query93 0.09s
tpcds/query94 0.20s
tpcds/query95 0.20s
tpcds/query96 0.17s
tpcds/query97-one 0.43s
tpcds/query97-two 0.46s
tpcds/query97 0.86s
tpcds/query98 0.14s
tpcds/query99 0.47s
tpch/query01 2.36s
tpch/query02-region 0.06s
tpch/query02 0.06s
tpch/query03 0.04s
tpch/query04 0.05s
tpch/query05 0.04s
tpch/query06 0.03s
tpch/query07 0.05s
tpch/query08 0.06s
tpch/query09 0.09s
tpch/query10 0.05s
tpch/query11 0.05s
tpch/query12 0.11s
tpch/query13 0.04s
tpch/query14 0.05s
tpch/query15 0.07s
tpch/query16 0.04s
tpch/query17 0.04s
tpch/query18 0.04s
tpch/query19 0.07s
tpch/query20 0.09s
tpch/query21 0.07s
tpch/query22 0.13s

== planner census ==
direct_hit	82
direct_miss	17
network_bridge	318
network_none	8
network_single_scan	83
search_calls	274
search_declined	8
search_truncated	1

== slowest searches ==
tpcds/query05	cands=46	covers=4096	trunc=True	5.68s
tpcds/query66	cands=46	covers=1417	trunc=False	0.85s
tpcds/query04	cands=46	covers=2833	trunc=False	0.78s
tpcds/query80	cands=46	covers=1023	trunc=False	0.75s
tpcds/query23	cands=46	covers=2714	trunc=False	0.65s
tpcds/query11	cands=46	covers=1417	trunc=False	0.58s
tpcds/query23	cands=46	covers=2714	trunc=False	0.50s
tpcds/query04	cands=46	covers=1417	trunc=False	0.46s
tpcds/query11	cands=46	covers=1417	trunc=False	0.45s
tpcds/query11	cands=46	covers=1417	trunc=False	0.36s
tpcds/query74	cands=46	covers=1417	trunc=False	0.36s
tpcds/query04	cands=46	covers=709	trunc=False	0.35s
tpcds/query97	cands=46	covers=1418	trunc=False	0.34s
tpcds/query74	cands=46	covers=709	trunc=False	0.32s
tpcds/query31	cands=46	covers=709	trunc=False	0.30s
tpcds/query23	cands=46	covers=709	trunc=False	0.30s
tpcds/query23	cands=46	covers=1386	trunc=False	0.29s
tpcds/query51	cands=46	covers=758	trunc=False	0.26s
tpcds/query11	cands=46	covers=1417	trunc=False	0.24s
tpcds/query54	cands=79	covers=703	trunc=False	0.24s

total search seconds: 18.2 over 274 searches
