query	v3_len	v4_len	delta	ratio	v3_cte	v4_cte	v3_sel	v4_sel	ref_len	v4_vs_ref	v3_t	v4_t
-1	2435	2174	-261	0.89	4	3	5	4	0	-	0.41	0.21
-2	2373	2873	500	1.21	4	5	5	6	0	-	0.29	0.13
-3	2311	2796	485	1.21	4	5	5	6	0	-	0.32	0.20
01	1807	1611	-196	0.89	3	2	4	3	689	2.34	0.15	0.09
01_agg	973	973	0	1.00	0	0	1	1	0	-	0.13	0.07
02-one	6304	6850	546	1.09	4	5	7	9	0	-	0.81	0.55
02-two	6304	6850	546	1.09	4	5	7	9	0	-	1.00	0.75
02	4861	4861	0	1.00	4	4	8	8	2566	1.89	0.32	1.16
03	921	921	0	1.00	0	0	1	1	446	2.07	0.06	0.07
04	8908	6936	-1972	0.78	4	3	7	6	4661	1.49	0.46	8.53
05	10416	10313	-103	0.99	6	7	17	18	4238	2.43	0.29	33.70
06	2410	2410	0	1.00	2	2	3	3	654	3.69	0.10	0.08
07	1648	1648	0	1.00	0	0	1	1	576	2.86	0.08	0.08
08	2922	2660	-262	0.91	8	8	11	11	19155	0.14	1.11	0.17
09	2994	2261	-733	0.76	6	0	7	1	2446	0.92	0.45	0.07
10	7095	7070	-25	1.00	4	4	9	9	1858	3.81	0.21	2.66
11	5784	4222	-1562	0.73	4	2	7	5	3006	1.40	0.57	6.22
12	2075	2075	0	1.00	2	2	3	3	749	2.77	0.10	0.12
13	3168	3168	0	1.00	0	0	1	1	2431	1.30	0.16	0.08
14	6246	6419	173	1.03	8	8	12	13	4229	1.52	0.51	3.43
15	1679	1679	0	1.00	0	0	1	1	811	2.07	0.15	0.09
16	3627	2765	-862	0.76	6	5	11	10	821	3.37	0.33	0.16
17	8384	6627	-1757	0.79	5	5	6	6	1588	4.17	0.59	0.11
18	7684	7101	-583	0.92	5	5	6	6	1593	4.46	0.21	0.26
19	1836	1836	0	1.00	0	0	1	1	708	2.59	0.12	0.08
20	1896	1896	0	1.00	2	2	3	3	819	2.32	0.14	0.13
21	1505	1505	0	1.00	0	0	1	1	1014	1.48	0.20	0.04
22	1510	1510	0	1.00	1	1	2	2	486	3.11	0.03	0.02
23	7673	7586	-87	0.99	11	13	21	22	2441	3.11	0.66	11.77
24	3940	4046	106	1.03	3	5	4	6	1264	3.20	0.36	0.11
25	6921	5494	-1427	0.79	5	5	6	6	1067	5.15	0.52	0.09
26	1400	1400	0	1.00	0	0	1	1	583	2.40	0.11	0.11
27	2302	2302	0	1.00	1	1	2	2	1550	1.49	0.09	0.12
28	88000	19233	-68767	0.22	1	5	2	6	2056	9.35	0.35	0.09
29	3164	4334	1170	1.37	1	3	2	4	1089	3.98	0.50	0.30
30-alt	6669	5572	-1097	0.84	4	4	5	5	0	-	0.22	0.23
30	6669	5572	-1097	0.84	4	4	5	5	1507	3.70	0.17	0.20
31	5493	5493	0	1.00	1	1	3	3	1994	2.75	0.19	2.72
32	1276	1228	-48	0.96	2	2	3	3	527	2.33	0.15	0.10
33	4307	3498	-809	0.81	3	2	9	8	1670	2.09	0.16	0.82
34	2857	2857	0	1.00	1	1	2	2	1449	1.97	0.34	0.09
35	9853	9911	58	1.01	7	8	14	12	1745	5.68	0.62	2.81
36	2587	2365	-222	0.91	4	3	5	4	1844	1.28	0.14	0.08
37	1461	1032	-429	0.71	2	1	4	3	592	1.74	0.13	0.14
38	2575	2916	341	1.13	3	3	6	6	1032	2.83	0.35	0.78
39	2086	2135	49	1.02	0	1	1	2	1546	1.38	0.07	0.03
40	1829	1829	0	1.00	0	0	1	1	1047	1.75	0.56	0.11
41	2368	2085	-283	0.88	3	2	4	3	1166	1.79	0.20	0.02
42	1052	1052	0	1.00	0	0	1	1	554	1.90	0.07	0.07
43	1962	1962	0	1.00	0	0	1	1	1346	1.46	0.17	0.09
44	3480	3623	143	1.04	10	13	11	14	1462	2.48	0.24	0.18
45	2478	2055	-423	0.83	2	1	4	3	1159	1.77	0.20	0.13
46	3270	3865	595	1.18	2	3	3	4	1474	2.62	0.18	0.15
47	5394	5917	523	1.10	3	4	4	5	2473	2.39	0.14	0.09
48	2528	2528	0	1.00	0	0	1	1	1425	1.77	0.11	0.07
49	5391	5770	379	1.07	4	5	9	10	4352	1.33	0.22	0.73
50	4526	5277	751	1.17	3	3	4	4	1903	2.77	0.43	0.12
51	3399	3812	413	1.12	5	7	7	9	1999	1.91	0.61	2.63
52	971	971	0	1.00	0	0	1	1	469	2.07	0.07	0.06
53	2672	2672	0	1.00	2	2	3	3	1808	1.48	0.13	0.08
54	3757	4155	398	1.11	6	6	9	9	1699	2.45	0.41	1.65
55	855	855	0	1.00	0	0	1	1	346	2.47	0.06	0.07
56	3417	3382	-35	0.99	2	2	8	8	1857	1.82	0.15	0.80
57	5081	5557	476	1.09	3	4	4	5	2122	2.62	0.14	0.15
58	5105	5358	253	1.05	3	4	9	11	2250	2.38	0.20	0.49
59	6237	7397	1160	1.19	5	8	6	9	2234	3.31	0.25	0.15
60	3343	3308	-35	0.99	2	2	8	8	1599	2.07	0.15	0.82
61	3532	1872	-1660	0.53	5	0	6	1	1279	1.46	0.25	0.08
62	2160	2160	0	1.00	0	0	1	1	1421	1.52	0.52	0.18
63	2617	2617	0	1.00	2	2	3	3	1795	1.46	0.14	0.08
64	20041	18074	-1967	0.90	17	14	22	20	3783	4.78	2.62	1.48
65	2418	2003	-415	0.83	3	2	4	3	1062	1.89	0.10	0.10
66	20318	22778	2460	1.12	2	4	4	6	7431	3.07	0.65	5.21
67	3741	3662	-79	0.98	3	3	4	4	1224	2.99	0.12	0.09
68	3647	4291	644	1.18	3	4	4	5	1453	2.95	0.24	0.17
69	4451	3895	-556	0.88	4	3	8	7	1435	2.71	0.53	2.72
70	3363	3314	-49	0.99	8	8	10	10	1258	2.63	0.19	0.17
71	3615	3615	0	1.00	1	1	4	4	1399	2.58	0.16	2.36
72	3262	4309	1047	1.32	0	3	1	4	1360	3.17	0.46	0.20
73	2905	2905	0	1.00	1	1	2	2	1437	2.02	1.89	0.08
74	4091	5451	1360	1.33	4	5	7	8	2151	2.53	0.35	3.42
75	6948	7824	876	1.13	6	7	11	12	2947	2.65	0.42	1.83
76	5340	5295	-45	0.99	4	4	7	7	1708	3.10	0.78	0.98
77	9222	10751	1529	1.17	17	20	20	23	3255	3.30	2.38	2.29
78	6495	6408	-87	0.99	2	3	7	8	2512	2.55	0.32	0.63
79	2415	2450	35	1.01	1	1	2	2	1188	2.06	0.11	0.11
80	6844	7797	953	1.14	4	4	11	11	3674	2.12	0.22	8.57
81	8563	7136	-1427	0.83	4	4	5	5	1459	4.89	0.21	0.20
82.1	1610	1662	52	1.03	1	1	4	4	0	-	0.10	0.11
82	1610	1662	52	1.03	1	1	4	4	590	2.82	0.10	0.06
83	6907	6902	-5	1.00	7	5	14	11	2195	3.14	0.33	0.65
84	2778	2331	-447	0.84	2	1	3	2	606	3.85	0.20	0.09
85	4239	4239	0	1.00	0	0	1	1	2166	1.96	0.24	0.12
86	2506	2147	-359	0.86	4	3	5	4	847	2.53	0.14	0.14
87	3614	3197	-417	0.88	5	4	8	7	1163	2.75	0.41	0.50
88	4108	4108	0	1.00	1	1	2	2	5658	0.73	0.28	0.09
89	3964	3964	0	1.00	2	2	3	3	965	4.11	0.11	0.09
90	1197	1197	0	1.00	0	0	1	1	982	1.22	0.10	0.09
91	2748	2748	0	1.00	0	0	1	1	982	2.80	0.23	0.19
92	1380	1334	-46	0.97	2	2	3	3	555	2.40	0.15	0.10
