query	v3_len	v4_len	delta	ratio	v3_cte	v4_cte	v3_sel	v4_sel	ref_len	v4_vs_ref	v3_t	v4_t
01	792	792	0	1.00	0	0	1	1	544	1.46	2.93	0.04
02-region	2234	3346	1112	1.50	2	5	3	6	764	4.38	0.07	0.07
02	2698	3947	1249	1.46	2	5	3	6	840	4.70	0.08	0.07
03	1304	1544	240	1.18	2	3	3	4	467	3.31	0.14	0.05
04	682	809	127	1.19	1	2	2	3	407	1.99	0.07	0.05
05	1482	1849	367	1.25	1	1	2	2	521	3.55	0.10	0.05
06	314	314	0	1.00	0	0	1	1	242	1.30	0.05	0.04
07	1450	1450	0	1.00	0	0	1	1	953	1.52	0.12	0.05
08	1713	1532	-181	0.89	0	0	1	1	949	1.61	0.17	0.09
09	1111	1111	0	1.00	0	0	1	1	677	1.64	0.17	0.06
10	2115	2121	6	1.00	2	2	3	3	579	3.66	0.10	0.05
11	2065	1959	-106	0.95	5	5	6	6	581	3.37	0.07	0.05
12	909	909	0	1.00	0	0	1	1	703	1.29	0.14	0.10
13	683	683	0	1.00	1	1	2	2	365	1.87	0.05	0.03
14	669	483	-186	0.72	0	0	1	1	363	1.33	0.12	0.04
15	2276	1721	-555	0.76	5	3	6	4	560	3.07	0.11	0.07
16	1049	1049	0	1.00	1	1	2	2	552	1.90	0.06	0.03
17	1270	1018	-252	0.80	2	2	3	3	328	3.10	0.09	0.06
18	1329	1278	-51	0.96	2	2	3	3	543	2.35	0.07	0.04
19	1661	1486	-175	0.89	0	0	1	1	1042	1.43	0.13	0.05
20	1807	2074	267	1.15	2	3	3	4	908	2.28	0.08	0.09
21	1623	1623	0	1.00	3	3	4	4	802	2.02	0.09	0.07
22	1787	1731	-56	0.97	3	3	4	4	806	2.15	0.19	0.04
