query	v3_len	v4_len	delta	ratio	v3_cte	v4_cte	v3_sel	v4_sel	v3_t	v4_t
-1	2435	2174	-261	0.89	4	3	5	4	0.38	0.19
-2	2373	2873	500	1.21	4	5	5	6	0.26	0.13
-3	2311	2796	485	1.21	4	5	5	6	0.31	0.21
01	1807	1701	-106	0.94	3	3	4	4	0.13	0.10
01_agg	973	973	0	1.00	0	0	1	1	0.12	0.07
02-one	6304	6850	546	1.09	4	5	7	9	0.80	0.51
02-two	6304	6850	546	1.09	4	5	7	9	0.74	0.54
02	4861	4861	0	1.00	4	4	8	8	0.23	1.17
03	921	921	0	1.00	0	0	1	1	0.06	0.07
04	8908	6936	-1972	0.78	4	3	7	6	0.42	10.81
05	10416	10313	-103	0.99	6	7	17	18	0.27	37.98
06	2410	2410	0	1.00	2	2	3	3	0.09	0.08
07	1648	1648	0	1.00	0	0	1	1	0.08	0.07
08	2945	2660	-285	0.90	8	8	11	11	1.03	0.19
09	2994	2261	-733	0.76	6	0	7	1	0.43	0.07
10	7095	7070	-25	1.00	4	4	9	9	0.21	2.90
11	5784	4222	-1562	0.73	4	2	7	5	0.51	8.24
12	2075	2075	0	1.00	2	2	3	3	0.10	0.11
13	3168	3168	0	1.00	0	0	1	1	0.16	0.07
14	6246	6419	173	1.03	8	8	12	13	0.46	4.07
15	1679	1679	0	1.00	0	0	1	1	0.14	0.09
16	3627	3366	-261	0.93	6	9	11	14	0.31	0.21
17	8384	6627	-1757	0.79	5	5	6	6	0.52	0.11
18	7684	7101	-583	0.92	5	5	6	6	0.20	0.23
19	1836	1836	0	1.00	0	0	1	1	0.11	0.08
20	1896	1896	0	1.00	2	2	3	3	0.12	0.13
21	1505	1505	0	1.00	0	0	1	1	0.17	0.02
22	1510	1510	0	1.00	1	1	2	2	0.03	0.02
23	7673	7586	-87	0.99	11	13	21	22	0.51	11.89
24	3940	4046	106	1.03	3	5	4	6	0.36	0.12
25	6921	5494	-1427	0.79	5	5	6	6	0.50	0.08
26	1400	1400	0	1.00	0	0	1	1	0.11	0.11
27	2302	2302	0	1.00	1	1	2	2	0.09	0.11
28	88000	19233	-68767	0.22	1	5	2	6	0.33	0.10
29	3164	4334	1170	1.37	1	3	2	4	0.45	0.31
30-alt	6669	5758	-911	0.86	4	5	5	6	0.22	0.26
30	6669	5758	-911	0.86	4	5	5	6	0.18	0.21
31	5493	5493	0	1.00	1	1	3	3	0.17	3.07
32	1276	1228	-48	0.96	2	2	3	3	0.15	0.08
33	4307	3498	-809	0.81	3	2	9	8	0.15	0.93
34	2857	2857	0	1.00	1	1	2	2	0.33	0.09
35	9853	9911	58	1.01	7	8	14	12	0.68	2.89
36	2587	2365	-222	0.91	4	3	5	4	0.10	0.09
37	1461	1032	-429	0.71	2	1	4	3	0.13	0.14
38	2575	2916	341	1.13	3	3	6	6	0.37	0.77
39	2086	2135	49	1.02	0	1	1	2	0.07	0.03
40	1829	1829	0	1.00	0	0	1	1	0.52	0.10
41	2368	2085	-283	0.88	3	2	4	3	0.20	0.02
42	1052	1052	0	1.00	0	0	1	1	0.06	0.07
43	1962	1962	0	1.00	0	0	1	1	0.16	0.09
44	3480	3446	-34	0.99	10	12	11	13	0.20	0.22
45	2478	2055	-423	0.83	2	1	4	3	0.17	0.11
46	3270	3405	135	1.04	2	2	3	3	0.17	0.15
47	5394	5917	523	1.10	3	4	4	5	0.12	0.09
48	2528	2528	0	1.00	0	0	1	1	0.11	0.06
49	5391	5770	379	1.07	4	5	9	10	0.21	0.83
50	4526	5277	751	1.17	3	3	4	4	0.39	0.12
51	3399	3812	413	1.12	5	7	7	9	0.54	2.93
52	971	971	0	1.00	0	0	1	1	0.06	0.06
53	2672	2939	267	1.10	2	3	3	4	0.12	0.07
54	3757	4155	398	1.11	6	6	9	9	0.39	1.95
55	855	855	0	1.00	0	0	1	1	0.06	0.06
56	3417	3382	-35	0.99	2	2	8	8	0.16	0.97
57	5081	5557	476	1.09	3	4	4	5	0.15	0.16
58	5105	5358	253	1.05	3	4	9	11	0.19	0.58
59	6237	7397	1160	1.19	5	8	6	9	0.24	0.15
60	3343	3308	-35	0.99	2	2	8	8	0.15	0.94
61	3532	1872	-1660	0.53	5	0	6	1	0.23	0.08
62	2160	2160	0	1.00	0	0	1	1	0.48	0.20
63	2617	2870	253	1.10	2	3	3	4	0.12	0.08
64	20041	18074	-1967	0.90	17	14	22	20	2.57	1.51
65	2418	2003	-415	0.83	3	2	4	3	0.09	0.10
66	20318	22778	2460	1.12	2	4	4	6	0.65	6.86
67	3741	3662	-79	0.98	3	3	4	4	0.11	0.09
68	3647	3799	152	1.04	3	3	4	4	0.23	0.17
69	4451	3895	-556	0.88	4	3	8	7	0.45	2.95
70	3363	3314	-49	0.99	8	8	10	10	0.18	0.16
